epoch,psnr,ssim,lpips,psnr_l,ssim_l,delta_e,train_loss
1,9.0976,0.0763,0.8317,10.3477,0.0887,44.3891,0.409359
2,9.0498,0.0698,0.8677,10.0916,0.0790,44.6941,0.376697
1,8.8720,0.0710,0.8465,9.9902,0.0849,46.3433,0.412182
2,8.5186,0.0678,0.8504,9.6115,0.0799,47.1428,0.380889
3,8.7467,0.0731,0.8230,9.9491,0.0888,46.3071,0.383932
4,8.1595,0.0594,0.8638,9.2422,0.0712,49.1968,0.382308
5,9.3334,0.0821,0.8596,10.5236,0.0917,43.9136,0.382501
6,8.9418,0.0634,0.8449,9.8524,0.0715,45.0239,0.376745
7,9.1534,0.0779,0.8349,10.2076,0.0893,44.0198,0.377543
8,8.4023,0.0666,0.8602,9.5293,0.0787,47.1911,0.373767
9,8.9717,0.0711,0.8257,9.7665,0.0805,43.2361,0.378971
10,8.2417,0.0668,0.8743,9.5750,0.0847,49.5368,0.389027
